# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
9.910468 1.208079e-05   9.414028e-12 2.994044e-37   1.271458e-08 6.251526e-22   -1.257805e-08 -9.120336e-25
10.033579 1.206917e-05   6.691518e-12 7.544402e-37   1.267514e-08 5.462502e-22   -1.253617e-08 9.758196e-27
10.156691 1.201836e-05   4.121840e-12 2.383049e-37   1.282811e-08 2.613188e-21   -1.268779e-08 -1.165130e-24
10.279802 1.303738e-05   2.546791e-11 6.229859e-38   1.305706e-08 3.414554e-21   -1.291255e-08 -1.169708e-24
10.402913 1.263273e-05   1.717364e-11 5.311652e-37   1.284622e-08 8.046592e-22   -1.270381e-08 -1.317507e-24
10.526025 1.285103e-05   2.355755e-11 5.370980e-37   1.276845e-08 1.626162e-21   -1.262686e-08 -1.552264e-24
10.649136 1.339096e-05   4.280156e-11 6.644642e-37   1.254128e-08 1.018584e-21   -1.240476e-08 -4.554743e-25
10.772248 1.153044e-05   2.899942e-12 6.738487e-37   1.215410e-08 -1.110429e-21   -1.202405e-08 1.344239e-25
10.895359 1.288301e-05   3.981384e-11 3.773136e-37   1.164595e-08 1.368755e-22   -1.151979e-08 -8.507718e-25
11.018470 1.323469e-05   5.546544e-11 6.926957e-37   1.056610e-08 -5.868687e-22   -1.044641e-08 -6.436915e-25
11.141582 1.077721e-05   1.033355e-11 5.233902e-37   9.010516e-09 1.351563e-21   -8.904702e-09 -7.113879e-25
11.264693 9.866754e-06   1.898347e-11 4.419433e-37   6.817511e-09 1.387733e-21   -6.739142e-09 -1.290219e-24
11.387805 8.613255e-06   2.273305e-11 9.774747e-38   4.618894e-09 -2.876857e-22   -4.567439e-09 -4.152211e-25
11.510916 5.372238e-06   2.284065e-12 1.968275e-37   2.658749e-09 3.236033e-21   -2.632172e-09 -1.739110e-24
11.634027 3.898864e-06   2.980403e-12 3.705875e-37   1.287636e-09 3.211695e-21   -1.275415e-09 -1.103951e-24
11.757139 2.983623e-06   3.803783e-12 1.715960e-37   5.976569e-10 3.565603e-22   -5.925587e-10 -7.862613e-25
11.880250 1.362003e-06   1.402596e-13 1.883320e-37   2.513260e-10 1.382611e-21   -2.496113e-10 -1.418673e-24
12.003362 1.075789e-06   6.131455e-13 9.359518e-37   9.233384e-11 6.888166e-22   -9.178966e-11 -8.037693e-25
12.126473 8.451013e-07   5.746352e-13 3.842627e-37   3.125098e-11 -1.006186e-21   -3.111141e-11 -6.709473e-25
