# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
8.063797 6.087193e-05   7.024370e-12 7.233100e-37   1.808883e-08 -6.385373e-22   -1.439046e-08 -2.927180e-25
8.186908 6.071169e-05   1.559632e-11 6.550189e-37   1.795265e-08 1.259894e-21   -1.428234e-08 -5.854531e-25
8.310020 6.045600e-05   3.083984e-11 7.939913e-37   1.772770e-08 -4.763535e-22   -1.410362e-08 -1.308188e-25
8.433131 6.006453e-05   2.133025e-11 2.049304e-37   1.760888e-08 8.000627e-22   -1.402246e-08 -4.896100e-25
8.556242 5.951449e-05   1.726263e-11 1.427530e-36   1.725320e-08 -4.429135e-22   -1.372849e-08 -3.779676e-25
8.679354 5.956107e-05   4.039724e-11 9.118819e-37   1.711864e-08 -1.976570e-22   -1.361151e-08 3.121232e-25
8.802465 5.962232e-05   6.010853e-11 3.248436e-37   1.709274e-08 -1.183854e-21   -1.359803e-08 3.653411e-25
8.925577 5.953980e-05   5.319568e-11 1.291612e-37   1.701955e-08 7.066076e-22   -1.352775e-08 -1.655155e-25
9.048688 5.988470e-05   4.896711e-11 1.714355e-37   1.729708e-08 -1.470418e-21   -1.375987e-08 -2.525450e-25
9.171799 6.018299e-05   4.834150e-11 2.711787e-37   1.757066e-08 5.975468e-22   -1.399701e-08 -2.965421e-25
9.294911 6.002407e-05   3.735009e-11 1.028446e-37   1.746936e-08 6.746384e-22   -1.390382e-08 8.687483e-25
9.418022 5.981222e-05   2.770224e-11 2.181720e-37   1.738871e-08 -4.407036e-22   -1.383891e-08 9.986282e-25
9.541134 5.956916e-05   1.374287e-11 3.575634e-37   1.727761e-08 1.274912e-21   -1.374287e-08 6.101311e-25
9.664245 5.913822e-05   1.967439e-12 1.324954e-36   1.689214e-08 1.307421e-21   -1.339678e-08 7.350307e-25
9.787356 5.937371e-05   8.032162e-12 8.234839e-38   1.712526e-08 9.048233e-22   -1.360805e-08 6.184214e-25
9.910468 5.946015e-05   2.532580e-12 1.205370e-37   1.729344e-08 1.349757e-21   -1.376047e-08 -5.580342e-25
10.033579 5.987163e-05   2.044152e-11 1.266667e-37   1.739465e-08 4.486151e-22   -1.383047e-08 3.497459e-25
10.156691 6.050926e-05   4.451487e-11 1.966129e-37   1.772311e-08 -9.187091e-22   -1.410626e-08 6.760321e-25
