# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
8.310020 3.099794e-05   1.556573e-11 3.509622e-37   1.245267e-08 6.449411e-22   -1.150736e-08 -2.756747e-26
8.433131 3.119146e-05   1.387284e-11 4.606205e-37   1.262943e-08 2.027299e-21   -1.167039e-08 -5.510367e-25
8.556242 3.133885e-05   8.724259e-12 1.440145e-37   1.273282e-08 1.007448e-21   -1.175942e-08 -2.145785e-25
8.679354 3.140113e-05   4.016688e-12 4.778174e-39   1.278811e-08 1.115839e-21   -1.180610e-08 2.995570e-25
8.802465 3.178794e-05   6.890555e-12 5.664724e-38   1.296201e-08 2.268671e-21   -1.195843e-08 3.902662e-25
8.925577 3.167805e-05   1.924640e-11 2.990351e-37   1.277408e-08 2.389090e-21   -1.178983e-08 -1.419861e-25
9.048688 3.134895e-05   8.916938e-12 5.235865e-37   1.261888e-08 1.709090e-21   -1.164504e-08 6.482967e-26
9.171799 3.159688e-05   4.895986e-11 1.394729e-37   1.263147e-08 1.320679e-21   -1.168206e-08 2.343998e-25
9.294911 3.158893e-05   2.700470e-11 1.949925e-37   1.274771e-08 7.884364e-22   -1.177685e-08 4.042561e-25
9.418022 3.163032e-05   2.988498e-11 1.058752e-36   1.277240e-08 -4.693125e-22   -1.180181e-08 9.394264e-25
9.541134 3.238727e-05   6.015748e-11 7.310011e-37   1.298236e-08 4.058486e-23   -1.199358e-08 4.701637e-25
9.664245 3.202530e-05   5.812049e-11 8.695853e-37   1.272340e-08 -6.795166e-22   -1.175590e-08 8.836878e-25
9.787356 3.168474e-05   2.838220e-11 1.431081e-37   1.271177e-08 1.224167e-21   -1.173622e-08 5.679601e-25
9.910468 3.131773e-05   9.414028e-12 2.994044e-37   1.271458e-08 6.251526e-22   -1.174320e-08 4.259687e-25
10.033579 3.142065e-05   6.691518e-12 7.544402e-37   1.267514e-08 5.462502e-22   -1.169458e-08 6.400755e-25
10.156691 3.153247e-05   4.121840e-12 2.383049e-37   1.282811e-08 2.613188e-21   -1.183793e-08 9.445257e-25
10.279802 3.231676e-05   2.546791e-11 6.229859e-38   1.305706e-08 3.414554e-21   -1.203815e-08 -1.452135e-25
10.402913 3.189597e-05   1.717364e-11 5.311652e-37   1.284622e-08 8.046592e-22   -1.184604e-08 7.511334e-25
10.526025 3.194382e-05   2.355755e-11 5.370980e-37   1.276845e-08 1.626162e-21   -1.177160e-08 8.219929e-25
10.649136 3.185187e-05   4.280156e-11 6.644642e-37   1.254128e-08 1.018584e-21   -1.156954e-08 5.903513e-26
10.772248 3.055590e-05   2.899942e-12 6.738487e-37   1.215410e-08 -1.110429e-21   -1.122334e-08 1.067615e-24
10.895359 3.064976e-05   3.981384e-11 3.773136e-37   1.164595e-08 1.368755e-22   -1.074636e-08 5.474803e-25
