# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
11.510916 3.779441e-05   6.203574e-12 1.007635e-36   1.500426e-08 9.337567e-21   -1.358205e-08 -2.885478e-24
11.634027 2.739474e-05   2.403494e-13 3.891614e-37   8.183368e-09 8.501763e-21   -7.433137e-09 -3.307044e-24
11.757139 1.852538e-05   4.233736e-13 5.444247e-37   3.952781e-09 -5.122487e-22   -3.610015e-09 -1.162102e-24
11.880250 1.174543e-05   7.501437e-14 3.961172e-37   1.714824e-09 1.941027e-21   -1.576944e-09 -1.406470e-25
12.003362 6.804808e-06   3.121349e-13 8.684641e-37   6.396287e-10 6.736895e-21   -5.936354e-10 -2.868394e-25
12.126473 3.553515e-06   6.774119e-14 6.477037e-37   2.059954e-10 5.469348e-22   -1.934357e-10 -1.827240e-24
12.249584 1.904381e-06   1.265793e-14 3.254885e-37   6.929644e-11 1.172916e-21   -6.568243e-11 2.950650e-24
12.372696 9.023746e-07   6.765246e-15 4.292269e-37   2.228755e-11 -1.413774e-21   -2.148003e-11 2.291061e-25
12.495807 4.742545e-07   3.862212e-15 3.999648e-37   6.086109e-12 -4.846762e-21   -5.865054e-12 2.569351e-24
12.618919 3.864751e-07   6.161370e-16 4.931414e-37   2.007132e-12 3.093555e-21   -1.858385e-12 2.809800e-24
12.742030 2.820587e-07   5.864561e-17 1.486429e-38   8.969042e-13 -8.193306e-22   -8.174057e-13 -2.152565e-24
12.865141 1.799013e-07   4.867980e-17 1.673663e-37   4.032227e-13 5.843370e-21   -3.709069e-13 -1.547147e-24
12.988253 1.013741e-07   1.491035e-17 2.396373e-37   1.493056e-13 3.336354e-21   -1.390438e-13 -9.048721e-25
13.111364 5.206478e-08   1.662961e-18 1.028814e-37   4.236388e-14 1.589610e-21   -3.965480e-14 -2.477746e-25
13.234476 2.910739e-08   1.011791e-18 3.095700e-37   1.424808e-14 -3.892375e-22   -1.340185e-14 2.026963e-24
13.357587 1.543490e-08   3.190932e-18 5.955625e-37   7.266146e-15 1.726250e-21   -7.031101e-15 4.940481e-25
13.480698 9.853203e-09   2.973998e-18 2.034836e-37   4.527773e-15 4.387157e-21   -4.433661e-15 -3.985814e-24
13.603810 1.042806e-08   1.424206e-18 2.127055e-37   4.679857e-15 -7.047991e-22   -4.572537e-15 1.833753e-24
13.726921 1.305137e-08   8.414193e-19 1.073419e-37   6.361438e-15 1.284417e-22   -6.191942e-15 2.589220e-24
13.850033 1.563182e-08   1.360589e-18 2.136203e-37   6.836470e-15 -4.499954e-21   -6.593477e-15 3.574702e-24
13.973144 1.586573e-08   1.702451e-18 1.448143e-36   5.788187e-15 3.278445e-21   -5.538168e-15 -6.182286e-26
14.096255 1.583758e-08   1.527601e-18 5.952985e-37   6.766771e-15 1.231691e-21   -6.517470e-15 -2.024276e-24
14.219367 1.988322e-08   1.075239e-18 1.555144e-36   1.318503e-14 1.909564e-21   -1.279076e-14 -6.485326e-25
14.342478 2.864153e-08   6.384666e-19 8.223921e-37   2.665442e-14 1.156719e-21   -2.583472e-14 -2.162696e-24
14.465590 4.108875e-08   2.817470e-19 3.524508e-36   5.614230e-14 4.756906e-21   -5.445430e-14 -1.064960e-24
14.588701 5.468525e-08   9.766008e-19 1.918369e-36   1.141100e-13 -9.206861e-22   -1.111205e-13 7.559152e-25
14.711813 6.618317e-08   4.438788e-18 2.824747e-36   1.730750e-13 -1.763563e-21   -1.686993e-13 1.696177e-24
14.834924 7.722696e-08   1.090600e-17 1.607161e-36   1.961074e-13 3.776637e-21   -1.901543e-13 -4.584462e-24
